"Katalog","Kodiersystem","Kode","P-Code1","P-Code2","P-Code3","Text1","Text2","Text3","Text4","Text5","Text6","DatumGueltigkeit","ADV16_Int"
"016","000","0813402","SA070150009",,"S.Eastbourne","Salmonella Eastbourne",,,,,,"20071127",813402
"016","000","0813403","SA120680009",,"S.Eastglam","Salmonella Eastglam",,,,,,"20071127",813403
"016","000","0813404","SA210540009",,"S.Eberswalde","Salmonella Eberswalde",,,,,,"20071127",813404
"016","000","0813405","SA041180009",,"S.Eboko","Salmonella Eboko",,,,,,"20071127",813405
"016","000","0813406","SA230170009",,"S.Ebrie","Salmonella Ebrie",,,,,,"20071127",813406
"016","000","0813407","SA240200009",,"S.Echa","Salmonella Echa",,,,,,"20071127",813407
"016","000","0813408","SA282181009",,"S.Ede","Salmonella Ede",,,,,,"20071127",813408
"016","000","0813409","SA030070009",,"S.Edinburg","Salmonella Edinburg",,,,,,"20071127",813409
"016","000","0813410","SA030071009",,"S.Edinburg O:14+","Salmonella Edinburg O:14+",,,,,,"20071127",813410
"016","000","0813411","SA040230009",,"S.Edmonton","Salmonella Edmonton",,,,,,"20071127",813411
"016","000","0813412","SA270090009",,"S.Egusi","Salmonella Egusi",,,,,,"20071127",813412
"016","000","0813413","SA280650009",,"S.Egusitoo","Salmonella Egusitoo",,,,,,"20071127",813413
"016","000","0813414","SA031250009",,"S.Eingedi","Salmonella Eingedi",,,,,,"20071127",813414
"016","000","0813415","SA021300009",,"S.Eko","Salmonella Eko",,,,,,"20071127",813415
"016","000","0813416","SA080600009",,"S.Ekotedo","Salmonella Ekotedo",,,,,,"20071127",813416
"016","000","0813417","SA284230009",,"S.Ekpoui","Salmonella Ekpoui",,,,,,"20071127",813417
"016","000","0813418","SA282230009",,"S.Elbeuf","Salmonella Elbeuf",,,,,,"20071127",813418
"016","000","0813419","SA090240009",,"S.Elisabethville","Salmonella Elisabethville",,,,,,"20071127",813419
"016","000","0813420","SA090241009",,"S.Elisabethville O:10-,15+","Salmonella Elisabethville O:10-,15+",,,,,,"20071127",813420
"016","000","0813421","SA071290009",,"S.Elokate","Salmonella Elokate",,,,,,"20071127",813421
"016","000","0813422","SA070820009",,"S.Elomrane","Salmonella Elomrane",,,,,,"20071127",813422
"016","000","0813423","SA240090009",,"S.Emmastad","Salmonella Emmastad",,,,,,"20071127",813423
"016","000","0813424","SA160350009",,"S.Encino","Salmonella Encino",,,,,,"20071127",813424
"016","000","0813425","SA230160009",,"S.Enschede","Salmonella Enschede",,,,,,"20071127",813425
"016","000","0813426","SA020590009",,"S.Entebbe","Salmonella Entebbe",,,,,,"20071127",813426
"016","000","0813427","SA070184009",,"S.Enteritidis -:G,M:-","Salmonella Enteritidis -:G,M:-",,,,,,"20071127",813427
"016","000","0813428","SA070181009",,"S.Enteritidis H:1+,7+","Salmonella Enteritidis H:1+,7+",,,,,,"20071127",813428
"016","000","0813429","SA070183009",,"S.Enteritidis H:F+","Salmonella Enteritidis H:F+",,,,,,"20071127",813429
"016","000","0813430","SA070182009",,"S.Enteritidis H:P+","Salmonella Enteritidis H:P+",,,,,,"20071127",813430
"016","000","0813431","SA170520009",,"S.Enugu","Salmonella Enugu",,,,,,"20071127",813431
"016","000","0813432","SA090380009",,"S.Epicrates","Salmonella Epicrates",,,,,,"20071127",813432
"016","000","0813433","SA130610009",,"S.Epinay","Salmonella Epinay",,,,,,"20071127",813433
"016","000","0813434","SA030660009",,"S.Escanaba","Salmonella Escanaba",,,,,,"20071127",813434
"016","000","0813435","SA071510009",,"S.Eschberg","Salmonella Eschberg",,,,,,"20071127",813435
"016","000","0813436","SA030520009",,"S.Eschweiler","Salmonella Eschweiler",,,,,,"20071127",813436
