"osm_id","ort","plz","bundesland","PLZ_Int"
215977,"Aßlar","35614","Hessen",35614
929921,"Aßling","85617","Bayern",85617
453151,"Astert","57627","Rheinland-Pfalz",57627
163178,"Attendorn","57439","Nordrhein-Westfalen",57439
540056,"Attenhausen","56370","Rheinland-Pfalz",56370
956663,"Attenhofen","84091","Bayern",84091
29830,"Attenkirchen","85395","Bayern",85395
2801345,"Attenweiler","88448","Baden-Württemberg",88448
959671,"Atting","94348","Bayern",94348
453152,"Atzelgift","57629","Rheinland-Pfalz",57629
1946230,"Au","79280","Baden-Württemberg",79280
907190,"Au am Rhein","76474","Baden-Württemberg",76474
162693,"Aub","97239","Bayern",97239
387526,"Aubstadt","97633","Bayern",97633
1269806,"Auderath","56766","Rheinland-Pfalz",56766
419002,"Aue","08280","Sachsen",8280
539909,"Auel","56357","Rheinland-Pfalz",56357
1244153,"Auen","55569","Rheinland-Pfalz",55569
1263898,"Auengrund","98673","Thüringen",98673
400935,"Auenwald","71549","Baden-Württemberg",71549
444398,"Auerbach","08209","Sachsen",8209
536016,"Auerbach","09392","Sachsen",9392
959825,"Auerbach","94530","Bayern",94530
1028547,"Auerbach in der Oberpfalz","91275","Bayern",91275
1169353,"Auetal","31749","Niedersachsen",31749
966625,"Aufhausen","93089","Bayern",93089
1070999,"Aufseß","91347","Bayern",91347
1965078,"Auggen","79424","Baden-Württemberg",79424
62407,"Augsburg","86150","Bayern",86150
62407,"Augsburg","86152","Bayern",86152
62407,"Augsburg","86153","Bayern",86153
62407,"Augsburg","86154","Bayern",86154
62407,"Augsburg","86156","Bayern",86156
62407,"Augsburg","86157","Bayern",86157
62407,"Augsburg","86159","Bayern",86159
62407,"Augsburg","86161","Bayern",86161
62407,"Augsburg","86163","Bayern",86163
62407,"Augsburg","86165","Bayern",86165
62407,"Augsburg","86167","Bayern",86167
62407,"Augsburg","86169","Bayern",86169
62407,"Augsburg","86179","Bayern",86179
62407,"Augsburg","86199","Bayern",86199
142752,"Augustdorf","32832","Nordrhein-Westfalen",32832
378773,"Augustusburg","09573","Sachsen",9573
1182471,"Auhagen","31553","Niedersachsen",31553
962601,"Auhausen","86736","Bayern",86736
